soil.res;temp.0;temp.5;temp.10;temp.15;smoi;lmoi;litter.d;ph.litter;ph.soil0;ph.soil5;rootdw0;rootdw5;rootn0;rootc0;rootn5;rootc5;litter.c;litter.n;soiln0;soilc0;soiln5;soilc5;litno3;litnh4;litdoc;sno30;snh40;sdoc0;sno35;snh45;sdoc5;nn
2.64;12.41;11.89;11.69;11.5;40.59586666;0.51839018;1.2;6.81;4.03;4.22;0.002951351;0.137;2.0325835;35.2855815;1.521007;35.0815775;422.462995;14.64857;4.322626736;56.08348529;3.770657064;44.4311021;0.135401752;0.056059145;0.462392904;0.046502358;0.004487062;0.080789076;0.027571013;0.002162748;0.062391699;2.01
2.4675;12.3;11.65;11.48;11.37;39.15351634;0.617661008;0.2;6.2;4.26;4.32;0.020489888;0.009828897;1.9588755;37.09531;1.717183;36.685938;474.32064;15.981575;3.918793937;50.68880397;4.74951776;58.97574005;0.020958653;0.003898531;0.440696277;0.021072264;0.003600518;0.050103157;0.006838068;0.001693051;0.041279672;2.7
3.015;12.37;11.89;11.73;11.57;38.06650356;0.564214786;1;6.51;4.22;3.98;0.15;0.137;1.4651785;34.6296425;1.453249;34.856621;463.56621;14.21504;4.67978578;62.39689807;3.808454179;49.06320536;0.002;0.01295845;0.389105097;0.010268571;0.002394034;0.113355359;0.004;0.004078656;0.060771999;3.21
2.64;12.27;11.88;11.7;11.59;43.06430908;0.580969352;1.3;6.4;4.21;3.98;0.03;0.106;1.500658;38.4916245;1.264228;38.5253695;470.681915;14.41069;5.613450072;76.85304707;3.382638002;38.2041002;0.028454633;0.007383115;0.532293391;0.005;0.007389586;0.091343102;0.004;0.005922325;0.045447441;1.34
2.8725;12.46;12.01;11.7;11.61;37.28344394;0.514473291;0.3;6.52;3.92;3.96;0.145;0.114;1.593115;36.1134125;1.5051945;34.8801975;458.20545;13.494545;5.737177018;72.09072609;4.448115209;53.24649995;0.030707637;0.004745712;0.472178595;0.015215815;0.007010442;0.109376433;0.005701124;0.007279297;0.080921072;4.11
2.8175;12.42;12.01;11.78;11.5;40.9714558;0.484110559;0.3;6.51;4.41;4.3;0.019396648;0.024383886;1.766783;41.49103;1.7539605;37.6086695;460.611895;12.98296;4.914443476;64.62757445;3.612386716;43.37845762;0.066850879;0.005024635;0.348411647;0.062733468;0.002903482;0.062321608;0.021716353;0.00579493;0.049130022;2.51
3.5825;12.63;11.9;11.57;11.49;40.17460123;0.593995136;1.3;6.46;4.07;4.12;0.089;0.074;1.77102;36.4284115;1.417272;33.549244;459.90707;14.498735;6.396863664;89.74379971;5.605726303;74.23006056;0.015159924;0.003806965;0.367445801;0.007631564;0.004319805;0.098600568;0.007327096;0.008133747;0.075281251;2.72
2.13;12.4;11.88;11.64;11.52;42.82626849;0.583985055;0.5;6.13;4.29;3.97;0.066;0.014426396;2.3833405;37.413336;1.6521865;38.6286965;462.52163;14.067825;4.808619336;63.76075354;3.386457551;37.59758897;0.080683487;0.00764918;0.440048759;0.016367838;0.006616542;0.082455676;0.007748593;0.002581932;0.059528559;2.26
2.92;12.35;11.8;11.6;11.5;41.2238925;0.548286678;0.8;5.86;3.75;3.82;0.106;0.009425287;1.5878455;36.390682;1.039659;31.265318;462.62314;15.74419;5.480655113;69.84019254;3.048519058;39.69509067;0.035371978;0.007214455;0.32420081;0.029804478;0.005631728;0.157097533;0.011221213;0.005029579;0.175891491;1.62
3.7275;12.42;11.9;11.7;11.6;42.40652561;0.608418097;0.5;6.5;4.06;4;0.03;0.009378205;1.9080895;38.54623;1.41219;38.1431235;430.650825;13.852015;5.035319381;72.79734076;2.918140035;33.67471381;0.036330686;0.007818006;0.569236871;0.024858353;0.002916051;0.060881051;0.009526134;0.002612719;0.080534276;2.33
